date,open_interest_all,net
2001-10-16,65557,31256
2001-10-23,65520,23095
2001-10-30,67416,18626
2001-11-06,73175,9192
2001-11-13,73671,6839
2001-11-20,75468,4033
2001-11-27,72849,1423
2001-12-04,71351,3053
2001-12-11,67829,7904
2001-12-18,65704,13091
2001-12-21,63848,17968
2001-12-28,63260,23068
2002-01-08,67412,32613
2002-01-15,71748,36208
2002-01-22,67577,33036
2002-01-29,65182,28595
2002-02-05,66014,25221
2002-02-12,64702,26524
2002-02-19,68018,28128
2002-02-26,65009,27110
2002-03-05,66893,32037
2002-03-12,69921,32633
2002-03-19,71778,33081
2002-03-26,74477,34803
2002-04-02,80061,41929
2002-04-09,79026,39040
2002-04-16,73774,28167
2002-04-23,71283,28652
2002-04-30,73618,28975
2002-05-07,73729,29936
2002-05-14,74887,30964
2002-05-21,85666,45330
2002-05-28,98766,49506
2002-06-04,101403,52172
2002-06-11,101564,50192
2002-06-18,102608,44655
2002-06-25,98927,39164
2002-07-02,93941,42253
2002-07-09,97169,44324
2002-07-16,100428,48545
2002-07-23,95317,43275
2002-07-30,83102,28374
2002-08-06,83630,24926
2002-08-13,82391,22737
2002-08-20,83430,16444
2002-08-27,79468,13126
2002-09-03,77879,11355
2002-09-10,80009,11574
2002-09-17,81185,14319
2002-09-24,81663,22206
2002-10-01,81743,18048
2002-10-08,86501,8370
2002-10-15,90648,-373
2002-10-22,92676,-789
2002-10-29,89063,2536
2002-11-05,85603,6180
2002-11-12,84103,14809
2002-11-19,86256,17855
2002-11-26,83456,12464
2002-12-03,79183,12550
2002-12-10,76695,21139
2002-12-17,78899,27626
2002-12-23,76932,28932
2002-12-31,80920,31880
2003-01-07,95739,38587
2003-01-14,98600,37243
2003-01-21,99420,38400
2003-01-28,102214,39972
2003-02-04,103514,42528
2003-02-11,95036,29137
2003-02-14,92139,20178
2003-02-25,90955,20906
2003-03-04,81825,18010
2003-03-11,81943,22020
2003-03-18,83928,12759
2003-03-25,88189,-621
2003-04-01,89047,-3680
2003-04-08,90692,-680
2003-04-15,88705,-347
2003-04-22,87564,4091
2003-04-29,81957,9217
2003-05-06,84773,25588
2003-05-13,89108,32233
2003-05-20,89363,32164
2003-05-27,82547,30305
2003-06-03,75912,20748
2003-06-10,78684,14664
2003-06-17,79428,13682
2003-06-24,83905,9756
2003-07-01,79972,8876
2003-07-08,81775,20915
2003-07-15,87872,30343
2003-07-22,89035,29911
2003-07-29,108811,48432
2003-08-05,110005,47713
